Method,Dataset,F1-score,ROC-AUC,G-Mean
AdaBoost(depth=5),yeast1,0.5470,0.7821,0.6612
AdaBoost(depth=5),yeast3,0.7230,0.9591,0.8199
AdaBoost(depth=5),yeast4,0.2727,0.9312,0.3923
AdaBoost(depth=5),yeast6,0.4392,0.8979,0.6043
RHSBoost,yeast1,0.5993,0.7910,0.7148
RHSBoost,yeast3,0.7115,0.9546,0.9111
RHSBoost,yeast4,0.2584,0.8824,0.8210
RHSBoost,yeast6,0.2340,0.8675,0.8580
RUSBoost,yeast1,0.5498,0.7558,0.6728
RUSBoost,yeast3,0.6731,0.9348,0.9090
RUSBoost,yeast4,0.2499,0.8847,0.8321
RUSBoost,yeast6,0.1548,0.8265,0.8009
SMOTE,yeast1,0.5831,0.7834,0.7029
SMOTE,yeast3,0.7391,0.9571,0.8971
SMOTE,yeast4,0.3315,0.8801,0.7406
SMOTE,yeast6,0.4155,0.9240,0.8248
SMOTEBoost,yeast1,0.5903,0.7718,0.7074
SMOTEBoost,yeast3,0.7611,0.9596,0.8641
SMOTEBoost,yeast4,0.3730,0.9147,0.6148
SMOTEBoost,yeast6,0.5539,0.9147,0.7704
SMOTECSL,yeast1,0.5470,0.7931,0.6053
SMOTECSL,yeast3,0.5883,0.9688,0.8946
SMOTECSL,yeast4,0.1591,0.8535,0.7648
SMOTECSL,yeast6,0.1573,0.9100,0.8363
SUBoost,yeast1,0.5277,0.7571,0.6512
SUBoost,yeast3,0.6877,0.9548,0.7778
SUBoost,yeast4,0.3146,0.8879,0.4581
SUBoost,yeast6,0.4462,0.8706,0.6227
