Method,Dataset,F1-score,ROC-AUC,G-Mean
StandardAdaBoost,yeast1,0.547005,0.782133,0.661191
,yeast3,0.723046,0.959135,0.819937
,yeast4,0.272682,0.931238,0.392317
,yeast6,0.439161,0.897876,0.604276
SMOTEBoost,yeast1,0.5903,0.77175,0.707392
,yeast3,0.761103,0.959613,0.864065
,yeast4,0.373019,0.914704,0.614804
,yeast6,0.553919,0.914701,0.770415
RUSBoost,yeast1,0.54975,0.755806,0.672792
,yeast3,0.673079,0.934776,0.908954
,yeast4,0.249858,0.884708,0.832058
,yeast6,0.154764,0.826536,0.80089
RHSBoost,yeast1,0.599261,0.791026,0.714821
,yeast3,0.71153,0.954606,0.911134
,yeast4,0.258376,0.882436,0.820957
,yeast6,0.233958,0.867499,0.85798
SUBoost,yeast1,0.527669,0.757088,0.651197
,yeast3,0.687674,0.954801,0.777823
,yeast4,0.314586,0.887886,0.458078
,yeast6,0.446231,0.870602,0.622661
