Type,Method,Dataset,Accuracy,Precision,Recall,F1-score,ROC-AUC,PR-AUC,G-Mean,BAcc,,
algorithm level,AdaBoost (depth=1),yeast1,0.7601,0.6293,0.4219,0.5045,0.7878,0.5760,0.6152,0.6598,,
algorithm level,AdaBoost (depth=1),yeast3,0.9508,0.7891,0.7725,0.7770,0.9721,0.7808,0.8664,0.8726,,
algorithm level,AdaBoost (depth=1),yeast4,0.9623,0.3500,0.1945,0.2439,0.9217,0.3758,0.3814,0.5920,,
algorithm level,AdaBoost (depth=1),yeast6,0.9831,0.7000,0.4857,0.5655,0.9380,0.5549,0.6836,0.7404,,1.2385
algorithm level,AdaBoost (depth=1),Average,0.9141,0.6171,0.4687,0.5227,0.9049,0.5718,0.6366,0.7162,,
algorithm level,Cost-Sensitive+AdaBoost,yeast1,0.6658,0.4496,0.6922,0.5449,0.6736,0.4009,0.6729,0.6736,,
algorithm level,Cost-Sensitive+AdaBoost,yeast4,0.7224,0.2093,0.7436,0.3251,0.9190,0.2352,0.8154,0.8205,,
algorithm level,Cost-Sensitive+AdaBoost,yeast3,0.8956,0.5169,0.9203,0.6610,0.9470,0.7058,0.9061,0.9064,,
algorithm level,Cost-Sensitive+AdaBoost,yeast6,0.8956,0.1608,0.8000,0.2655,0.8972,0.2441,0.8374,0.8489,,
algorithm level,Cost-Sensitive+AdaBoost,Average,0.7948,0.3342,0.7890,0.4491,0.8592,0.3965,0.8080,0.8124,,
algorithm level,Cost-Sensitive+RandomForest,yeast1,0.7891,0.6979,0.4825,0.5688,0.8114,0.6420,0.6632,0.6981,,
algorithm level,Cost-Sensitive+RandomForest,yeast3,0.9461,0.7896,0.6992,0.7396,0.9726,0.8479,0.8254,0.8379,,1.6734
algorithm level,Cost-Sensitive+RandomForest,yeast4,0.9650,0.3333,0.1164,0.1655,0.9269,0.4298,0.2572,0.5557,,
algorithm level,Cost-Sensitive+RandomForest,yeast6,0.9838,0.8667,0.4286,0.5305,0.8965,0.5907,0.6350,0.7129,,1.2257
algorithm level,Cost-Sensitive+RandomForest,Average,0.9210,0.6719,0.4317,0.5011,0.9018,0.6276,0.5952,0.7012,,
