@relation glass5
@attribute RI real [1.51115, 1.53393]
@attribute Na real [10.73, 17.38]
@attribute Mg real [0.0, 4.49]
@attribute Al real [0.29, 3.5]
@attribute Si real [69.81, 75.41]
@attribute K real [0.0, 6.21]
@attribute Ca real [5.43, 16.19]
@attribute Ba real [0.0, 3.15]
@attribute Fe real [0.0, 0.51]
@attribute Class {positive, negative}
@inputs RI, Na, Mg, Al, Si, K, Ca, Ba, Fe
@outputs Class
@data
1.5176, 12.9777, 3.5381, 1.2113, 73.002, 0.6521, 8.5289, 0.0, 0.0, negative
1.5221, 14.208, 3.821, 0.4698, 71.77, 0.1118, 9.5726, 0.0, 0.0, negative
1.5222, 13.2104, 3.7716, 0.7908, 71.9884, 0.1304, 10.2452, 0.0, 0.0, negative
1.5176, 13.39, 3.6593, 1.1888, 72.7892, 0.5713, 8.2706, 0.0, 0.0561, negative
1.521, 13.6892, 3.592, 1.1214, 71.9604, 0.0869, 9.4004, 0.0, 0.0, negative
1.5176, 13.1506, 3.61, 1.0508, 73.2372, 0.5713, 8.2384, 0.0, 0.0, negative
1.5191, 13.902, 3.7312, 1.1792, 72.1228, 0.0621, 8.8947, 0.0, 0.0, negative
1.5179, 13.2104, 3.4798, 1.4103, 72.638, 0.5899, 8.432, 0.0, 0.0, negative
1.519, 13.5829, 3.3495, 1.2305, 72.078, 0.5899, 8.9055, 0.0, 0.0, negative
1.5122, 12.991, 3.4708, 1.1214, 72.9796, 0.621, 8.346, 0.0, 0.1581, negative
1.5198, 13.8089, 3.5785, 1.3204, 71.7196, 0.118, 8.6688, 0.6898, 0.0, negative
1.5176, 13.8887, 3.601, 1.3589, 72.7276, 0.4782, 7.8295, 0.0, 0.0, negative
1.5178, 12.6784, 3.6683, 1.1599, 73.1084, 0.6086, 8.701, 0.0, 0.0, negative
1.5172, 13.3767, 3.5022, 1.1503, 72.8508, 0.503, 8.432, 0.0, 0.0, negative
1.5175, 12.8381, 3.5022, 1.1406, 73.2708, 0.5589, 8.5504, 0.0, 0.0, negative
1.5221, 13.7292, 3.839, 0.7201, 71.7588, 0.1677, 9.7448, 0.0, 0.0, negative
1.5182, 12.8713, 3.4798, 1.2915, 72.9516, 0.6024, 8.432, 0.0, 0.0, negative
1.5192, 14.417, 3.5785, 1.3686, 72.078, 0.5589, 8.3029, 0.0, 0.0, negative
1.5176, 12.7981, 3.6593, 1.2691, 73.0076, 0.6024, 8.5612, 0.0, 0.0, negative
1.5178, 12.6918, 3.5381, 1.3397, 72.9516, 0.5713, 8.7548, 0.0, 0.0, negative
1.5184, 13.1373, 2.8422, 1.2787, 72.8508, 0.5527, 9.0669, 0.0, 0.0, negative
1.5215, 13.0509, 3.6504, 0.871, 72.218, 0.1925, 9.8524, 0.0, 0.0867, negative
1.516, 12.7915, 3.61, 1.6189, 72.9684, 0.6396, 8.0662, 0.0, 0.1326, negative
1.5178, 12.8514, 3.4798, 1.2305, 72.9684, 0.6086, 8.5612, 0.0914, 0.1122, negative
1.5178, 13.2104, 3.3899, 1.33, 72.7612, 0.5899, 8.5934, 0.0, 0.0, negative
1.5176, 13.4831, 3.7402, 1.1695, 72.9908, 0.5899, 8.0339, 0.0, 0.0, negative
1.5215, 13.0509, 3.6504, 0.871, 72.3188, 0.1925, 9.8524, 0.0, 0.0867, negative
1.5157, 12.7183, 3.4618, 1.5612, 73.198, 0.6707, 8.0877, 0.0, 0.1224, negative
1.5172, 12.8713, 3.4798, 1.33, 73.0412, 0.5589, 8.432, 0.0, 0.0, negative
1.5191, 13.8887, 3.5291, 1.3204, 71.8092, 0.5092, 8.7764, 0.1103, 0.0, negative
1.5187, 13.1905, 3.372, 1.1792, 72.722, 0.5713, 8.8302, 0.0, 0.0816, negative
1.5176, 12.9977, 3.601, 1.3589, 72.9908, 0.5713, 8.3998, 0.0, 0.0561, negative
1.5176, 12.8115, 3.5381, 1.2305, 73.2372, 0.5775, 8.389, 0.0, 0.0, negative
1.5178, 13.7745, 3.4887, 1.2787, 72.862, 0.6024, 8.4858, 0.0, 0.0, negative
1.5175, 12.5721, 3.4708, 1.3814, 73.3884, 0.6024, 8.5504, 0.0, 0.0306, negative
1.5179, 12.7317, 3.4304, 1.1888, 72.9516, 0.621, 8.7548, 0.0, 0.153, negative
1.521, 13.6427, 4.49, 1.0989, 71.7812, 0.0621, 8.7548, 0.0, 0.0, negative
1.5175, 12.8181, 3.5516, 1.4905, 72.75, 0.5403, 8.5181, 0.0, 0.0969, negative
1.5267, 13.9885, 3.6998, 0.7105, 71.5684, 0.0186, 9.8201, 0.0, 0.051, negative
1.5217, 13.4831, 3.7402, 0.8999, 72.0108, 0.1801, 9.6049, 0.0, 0.0357, negative
1.5162, 13.5297, 3.5516, 1.5387, 72.9908, 0.3912, 7.7757, 0.0, 0.0, negative
1.5176, 12.612, 3.592, 1.3108, 73.2876, 0.5775, 8.4966, 0.0, 0.0, negative
