@relation phoneme
@attribute Aa real [-1.7, 4.107]
@attribute Ao real [-1.327, 4.378]
@attribute Dcl real [-1.823, 3.199]
@attribute Iy real [-1.581, 2.826]
@attribute Sh real [-1.284, 2.719]
@attribute Class {0, 1}
@inputs Aa, Ao, Dcl, Iy, Sh
@outputs Class
@data
1.24, 0.875, -0.205, -0.078, 0.067, 0
1.567, 0.867, 1.3, 1.041, 0.559, 0
0.279, 0.99, 2.555, -0.738, 0.0, 0
0.307, 1.272, 2.656, -0.946, -0.467, 0
0.96, 0.712, -0.143, 0.091, -0.061, 0
2.941, 0.657, 1.493, -0.331, -0.123, 0
0.401, 1.159, 2.064, -0.69, -0.308, 0
0.655, 1.054, 1.372, -0.724, 1.77, 1
1.404, 1.531, 0.476, 1.601, -0.424, 0
0.532, 1.963, -0.355, 0.191, -0.122, 0
0.807, 2.227, -0.556, -0.225, 0.161, 0
0.316, 1.36, 1.986, -0.624, 0.497, 0
0.136, 0.736, 1.847, 1.073, -0.424, 0
0.151, 0.642, 1.454, 1.281, -0.716, 1
0.533, 2.139, 0.629, 0.241, -0.1, 0
0.699, 2.295, 0.67, 0.403, -0.391, 0
0.619, 2.238, -0.417, -0.184, -0.125, 0
0.111, 0.299, 0.404, 0.694, 0.0, 0
0.648, 2.479, 1.064, -0.317, 0.0, 0
1.669, 2.226, 0.545, 0.229, -0.139, 0
0.416, 1.689, 0.756, -0.252, -0.145, 0
0.06, 0.225, 0.119, 0.264, 0.912, 0
0.747, 1.029, 1.346, -0.998, 1.722, 1
0.121, 0.311, 0.588, 1.978, -0.652, 0
0.626, 2.317, 0.766, 0.411, -0.305, 0
2.881, 0.896, 0.495, 0.475, -0.113, 0
0.96, 1.09, 0.513, 1.114, 0.729, 1
0.48, 1.502, 2.495, -0.692, 0.402, 1
3.386, -0.301, 0.136, -0.078, -0.055, 0
1.089, 1.423, -0.387, -0.123, 0.09, 0
0.27, 0.959, 1.687, 1.705, 0.0, 0
2.571, -0.235, 0.201, 0.137, -0.133, 0
0.912, 2.285, -0.449, -0.159, -0.099, 0
0.531, 2.105, -0.397, -0.201, -0.103, 0
0.125, 0.548, 0.795, 0.836, 0.0, 1
0.874, 3.03, -0.496, 0.243, 0.48, 0
0.466, 2.279, 1.825, 0.778, -0.253, 0
0.155, 0.514, 0.49, -0.625, 0.0, 0
1.712, 1.764, 0.375, 0.511, 0.589, 0
1.055, 1.185, 0.293, 0.182, -0.141, 0
0.266, 0.711, 1.002, 1.138, 0.536, 1
0.105, 0.594, 0.326, -0.808, 0.0, 1
3.084, 0.782, -0.166, -0.088, -0.061, 0
0.82, 2.083, 0.492, 0.283, -0.19, 0
1.093, 1.692, 0.445, -0.312, 1.608, 0
-0.073, -0.25, -0.445, 1.539, -1.184, 1
0.268, 2.164, 0.991, 0.63, 0.0, 0
0.141, 0.64, 0.922, 1.899, 0.0, 1
0.482, 0.917, 1.435, -0.835, -0.762, 1
1.168, 2.156, -0.289, -0.122, 0.109, 0
0.165, 1.031, 1.947, -0.544, -0.228, 0
0.967, 2.225, -0.291, -0.145, -0.107, 0
1.607, 2.312, -0.381, 0.222, 0.163, 0
0.856, 1.875, 1.186, 0.366, 0.0, 0
0.255, 3.145, -0.507, 1.274, -0.385, 0
0.556, 3.451, -0.597, -0.245, -0.153, 0
0.148, 0.777, 1.533, 1.672, 0.0, 0
0.58, 1.755, 1.087, 0.334, 0.0, 0
0.371, 2.324, -0.456, -0.168, -0.083, 0
1.905, 0.487, -0.127, 0.079, 0.072, 0
0.172, 0.953, 2.051, -0.777, -0.572, 0
0.443, 0.705, 0.759, 1.27, 0.92, 1
3.177, -0.275, -0.111, 0.09, -0.074, 0
0.341, 1.007, 2.908, -0.772, 0.391, 0
0.955, 1.445, 1.608, 0.716, 0.689, 1
1.901, 0.502, 0.188, 0.151, -0.152, 0
0.42, 2.394, 1.358, 0.675, 0.0, 0
0.218, 0.659, 1.048, 2.194, -0.904, 1
0.487, 2.467, -0.428, -0.213, -0.121, 0
0.871, 0.961, 1.468, 1.132, 1.339, 1
0.12, 0.443, 0.325, -0.318, 0.904, 1
0.328, 1.09, 2.044, 1.063, 1.043, 1
1.752, 1.47, 1.261, -0.437, 0.648, 1
0.137, 0.519, 0.76, 1.611, 0.0, 1
0.18, 0.836, 2.024, 1.056, 0.0, 0
0.421, 1.055, 2.305, -0.547, 0.344, 0
1.371, 1.441, -0.287, 0.167, -0.171, 0
0.64, 2.462, 1.133, -0.335, 0.0, 0
0.53, 1.273, 1.002, 0.733, -0.692, 1
0.424, 0.745, 0.766, 1.225, 1.068, 1
1.956, 1.328, 0.82, 0.451, -0.256, 0
0.17, 1.356, 0.82, 0.333, 0.0, 0
0.184, 0.496, 0.514, 1.117, 1.106, 1
1.831, 2.751, -0.372, -0.169, -0.099, 0
0.66, 0.885, 1.552, -0.425, 0.345, 1
0.269, 1.13, 2.209, -0.786, -0.323, 0
2.389, 0.639, -0.107, 0.13, -0.053, 0
0.302, 0.581, 2.031, 1.122, 1.408, 1
1.195, -0.837, -0.266, 0.144, -0.086, 0
2.456, 0.964, 0.686, 0.849, -0.257, 0
0.238, 0.475, 1.232, 1.637, 0.785, 0
0.35, 0.585, 0.907, 2.188, 1.632, 1
