@relation phoneme
@attribute Aa real [-1.7, 4.107]
@attribute Ao real [-1.327, 4.378]
@attribute Dcl real [-1.823, 3.199]
@attribute Iy real [-1.581, 2.826]
@attribute Sh real [-1.284, 2.719]
@attribute Class {0, 1}
@inputs Aa, Ao, Dcl, Iy, Sh
@outputs Class
@data
1.24, 0.875, -0.205, -0.078, 0.067, 0
0.268, 1.352, 1.035, -0.332, 0.217, 0
1.567, 0.867, 1.3, 1.041, 0.559, 0
0.279, 0.99, 2.555, -0.738, 0.0, 0
0.307, 1.272, 2.656, -0.946, -0.467, 0
0.96, 0.712, -0.143, 0.091, -0.061, 0
0.401, 1.159, 2.064, -0.69, -0.308, 0
0.229, 1.748, 0.634, 0.259, 0.0, 0
1.404, 1.531, 0.476, 1.601, -0.424, 0
0.532, 1.963, -0.355, 0.191, -0.122, 0
0.108, 0.464, 1.302, 1.08, -0.349, 0
0.316, 1.36, 1.986, -0.624, 0.497, 0
0.533, 2.581, -0.595, -0.227, -0.123, 0
0.648, 2.479, 1.064, -0.317, 0.0, 0
0.416, 1.689, 0.756, -0.252, -0.145, 0
0.492, 2.604, -0.594, 0.313, -0.147, 0
1.312, 2.591, 0.874, 0.534, -0.175, 0
0.626, 2.317, 0.766, 0.411, -0.305, 0
2.881, 0.896, 0.495, 0.475, -0.113, 0
3.386, -0.301, 0.136, -0.078, -0.055, 0
1.089, 1.423, -0.387, -0.123, 0.09, 0
0.27, 0.959, 1.687, 1.705, 0.0, 0
0.531, 2.105, -0.397, -0.201, -0.103, 0
0.874, 3.03, -0.496, 0.243, 0.48, 0
0.311, 1.493, 0.423, 0.304, -0.113, 0
1.712, 1.764, 0.375, 0.511, 0.589, 0
1.055, 1.185, 0.293, 0.182, -0.141, 0
0.577, 3.348, -0.621, -0.245, 0.0, 0
0.273, 2.018, 1.768, 0.697, 0.0, 0
0.423, 1.781, -0.696, 0.491, 1.106, 0
3.084, 0.782, -0.166, -0.088, -0.061, 0
0.464, 1.792, 2.176, -0.517, -0.327, 0
1.093, 1.692, 0.445, -0.312, 1.608, 0
0.165, 1.031, 1.947, -0.544, -0.228, 0
0.967, 2.225, -0.291, -0.145, -0.107, 0
