@relation phoneme
@attribute Aa real [-1.7, 4.107]
@attribute Ao real [-1.327, 4.378]
@attribute Dcl real [-1.823, 3.199]
@attribute Iy real [-1.581, 2.826]
@attribute Sh real [-1.284, 2.719]
@attribute Class {0, 1}
@inputs Aa, Ao, Dcl, Iy, Sh
@outputs Class
@data
0.763, 1.929, 0.466, 0.255, -0.234, 0
2.329, 0.794, 0.311, -0.082, 0.075, 0
0.489, 3.375, -0.55, 0.611, -0.189, 0
0.249, 1.147, 3.108, -0.844, 0.0, 0
2.063, 1.161, -0.167, 0.103, 0.107, 0
0.623, 2.432, -0.495, -0.203, 0.186, 0
1.029, 1.893, 0.658, -0.432, 1.155, 0
0.996, 1.283, 0.315, -0.108, 0.078, 0
0.183, 1.354, 2.581, -0.754, -0.324, 0
1.181, 1.305, 0.699, 1.809, -0.499, 0
0.181, 1.132, 2.038, -0.56, 0.0, 0
0.229, 1.112, 1.99, 1.062, 0.0, 0
0.172, 0.662, 1.622, 1.093, 0.0, 0
0.092, 0.579, 0.617, 0.845, 0.0, 0
2.486, 0.532, 0.234, 0.087, 0.071, 0
0.429, 0.815, 1.23, 1.691, -0.496, 0
0.234, 1.933, 1.898, -0.693, -0.27, 0
0.238, 1.811, 0.682, 0.257, 0.119, 0
0.27, 2.773, -0.448, 0.247, 0.156, 0
2.786, -0.269, 0.124, 0.11, 0.063, 0
1.013, 1.772, -0.324, 0.206, 0.137, 0
0.136, 0.922, 2.224, -0.738, -0.322, 0
0.679, 2.482, -0.57, -0.218, -0.115, 0
0.404, 1.284, 0.837, 0.448, -0.135, 0
0.206, 0.605, 0.757, 1.918, -0.502, 0
0.197, 2.013, 1.871, -0.6, -0.234, 0
0.594, 1.964, 0.636, 1.778, -0.508, 0
1.228, 0.904, 0.271, 0.108, 0.082, 0
0.841, 2.174, -0.488, 0.206, 0.0, 0
0.241, 0.511, 0.665, 2.272, -0.859, 0
0.165, 1.307, 1.164, 0.551, -0.211, 0
0.288, 0.765, 0.644, 1.642, 1.58, 0
0.279, 1.511, 1.188, -0.466, 0.327, 0
0.494, 2.442, -0.442, 0.233, -0.134, 0
0.511, 2.031, 0.578, 0.271, -0.132, 0
2.909, 0.521, 1.263, -0.33, -0.142, 0
0.625, 1.85, 0.764, 0.319, 0.187, 0
0.162, 1.153, 1.582, -0.687, 0.0, 0
1.086, 1.046, 0.254, 0.202, -0.089, 0
0.959, 1.399, -0.252, -0.1, -0.055, 0
2.708, 0.925, -0.223, -0.075, -0.05, 0
0.336, 1.536, 2.01, -0.623, -0.394, 0
1.264, 2.951, -0.463, -0.179, -0.133, 0
0.729, 2.246, -0.346, -0.176, -0.113, 0
1.4, 1.535, 0.36, 0.265, 0.143, 0
0.205, 1.266, 1.981, -0.874, 0.0, 0
2.877, 0.52, -0.129, 0.13, -0.057, 0
1.706, 2.23, -0.347, 0.568, 0.504, 0
3.232, 0.906, 0.491, 0.38, -0.121, 0
2.411, 1.293, 0.256, 0.226, -0.103, 0
0.386, 0.998, 2.518, -0.665, -0.302, 0
0.954, 2.609, -0.41, 1.195, -0.377, 0
0.814, 2.493, 0.816, 0.301, -0.159, 0
0.144, 0.448, 0.543, 0.775, 0.0, 0
1.95, 1.598, 0.495, 0.252, 0.503, 0
0.649, 1.762, 1.497, -0.448, -0.482, 0
1.164, 2.083, -0.419, 0.67, -0.265, 0
0.121, 0.671, 0.951, 2.188, 0.0, 0
1.864, 2.255, -0.325, 0.235, 0.309, 0
2.045, 0.531, 2.079, -0.445, -0.161, 0
2.702, -0.236, 0.189, 0.119, -0.143, 0
0.417, 1.5, -0.407, -0.153, -0.103, 0
3.052, -0.233, 0.162, -0.078, -0.071, 0
0.48, 2.104, 0.591, 0.517, -0.112, 0
0.564, 3.093, 1.211, 0.63, -0.237, 0
0.582, 3.251, -0.511, 0.702, -0.25, 0
0.349, 1.736, 1.384, -0.502, 0.304, 0
2.429, 0.968, 0.646, 1.022, -0.311, 0
0.196, 0.525, 0.651, 1.087, 2.552, 0
3.148, 0.635, -0.13, 0.094, -0.053, 0
0.504, 2.248, 1.15, 0.412, -0.189, 0
2.916, 0.539, -0.126, 0.125, -0.06, 0
0.134, 0.329, 0.443, 1.537, 1.551, 0
0.734, 2.821, 1.114, 0.415, -0.179, 0
0.522, 1.165, 2.095, -0.565, -0.24, 0
0.389, 2.243, -0.387, 0.28, -0.114, 0
0.122, 0.592, 1.288, 2.546, -0.849, 0
3.24, 0.43, 0.801, -0.19, -0.089, 0
0.369, 3.048, 0.828, 0.7, 0.0, 0
2.619, 0.853, -0.161, 0.091, -0.048, 0
0.665, 2.971, -0.438, 0.257, -0.125, 0
2.741, 0.927, 1.029, -0.273, -0.117, 0
0.093, 0.281, 0.371, 0.441, 0.0, 0
1.068, 1.601, -0.283, -0.132, -0.066, 0
0.453, 1.694, 1.49, 0.667, 0.0, 0
2.585, 0.471, -0.133, -0.075, 0.119, 0
2.954, 0.951, 0.729, 0.326, -0.126, 0
0.257, 0.577, 0.638, 1.253, 1.175, 0
0.883, 2.215, -0.452, 0.337, -0.215, 0
1.62, 2.64, -0.457, 0.609, -0.213, 0
1.909, 0.249, -0.08, 0.102, -0.07, 0
0.336, 1.17, 1.625, 0.783, -0.39, 0
1.577, 1.626, 0.78, 0.399, 0.394, 0
2.866, -0.213, 0.166, 0.1, -0.094, 0
1.52, 1.396, -0.232, 0.133, -0.081, 0
0.134, 0.494, -0.522, -0.643, 0.786, 0
0.584, 3.106, -0.421, 0.302, 0.848, 0
0.922, 2.122, -0.391, 0.327, 0.186, 0
1.288, 0.722, 0.123, 0.095, 0.106, 0
0.405, 0.866, 1.826, -0.591, -0.4, 0
1.128, 1.33, -0.291, -0.114, 0.0, 0
0.65, 2.187, -0.387, -0.179, 0.181, 0
0.72, 2.762, 0.788, -0.221, -0.116, 0
0.184, 1.246, 1.751, -0.499, -0.21, 0
3.177, -0.275, -0.111, 0.09, -0.074, 0
0.325, 0.779, 0.955, -1.354, 0.0, 0
1.528, 0.54, 0.179, 0.149, 0.07, 0
0.284, 1.381, -0.306, -0.147, 0.116, 0
2.954, 0.435, -0.11, 0.086, -0.061, 0
0.509, 0.399, 0.665, -0.156, 0.0, 0
0.309, 2.255, 0.725, 0.299, -0.229, 0
0.231, 2.426, 0.676, 1.775, -0.545, 0
1.126, 2.136, 0.629, -0.165, -0.191, 0
0.635, 3.075, -0.657, 0.489, -0.19, 0
0.441, 1.428, 2.168, -0.608, 0.412, 0
0.859, 1.516, 0.362, 0.236, -0.187, 0
0.18, 0.636, 0.731, 1.762, -0.725, 0
1.322, 0.603, 0.156, 0.145, -0.163, 0
0.885, 2.87, -0.414, -0.173, -0.117, 0
-0.158, 2.19, 1.004, -0.51, 0.0, 0
0.899, 1.904, -0.411, 0.367, 1.19, 0
0.53, 2.976, -0.61, 0.683, 0.671, 0
0.237, 1.009, 2.565, -0.848, 0.614, 0
0.136, 0.627, 1.501, 1.188, 0.0, 0
0.147, 0.417, 0.515, -0.73, 0.0, 0
1.282, 0.719, -0.128, 0.117, 0.115, 0
2.942, 0.581, -0.131, 0.089, 0.06, 0
0.216, 1.59, 1.132, 0.486, -0.201, 0
1.025, 2.404, -0.505, 0.259, 0.435, 0
1.157, 2.585, -0.426, 0.701, 0.552, 0
0.234, 1.108, 1.884, -0.552, 0.0, 0
0.54, 2.787, -0.667, -0.242, -0.157, 0
3.459, 0.695, -0.121, -0.081, 0.055, 0
0.668, 1.559, -0.3, -0.128, -0.07, 0
-0.801, 0.884, -0.289, 0.341, -0.452, 0
1.55, 2.107, 0.583, 0.809, 0.411, 0
0.512, 2.054, -0.377, 0.473, 1.449, 0
0.242, 0.859, 2.259, -0.688, 0.0, 0
3.154, 0.61, -0.149, -0.08, -0.049, 0
0.181, 1.099, 0.81, 1.203, 0.0, 0
1.943, 1.012, 0.188, 0.151, 0.136, 0
2.198, 0.27, 0.513, 1.842, -0.529, 0
1.121, 1.599, 0.512, 0.329, -0.275, 0
0.159, 0.701, 1.044, 2.069, -0.623, 0
0.401, 2.322, -0.347, -0.164, -0.093, 0
-0.129, 1.094, 2.569, -0.844, -0.416, 0
0.284, 1.424, 2.617, -0.685, -0.308, 0
0.099, 0.466, 1.088, 1.861, 0.0, 0
0.252, 2.498, -0.53, 0.347, -0.137, 0
0.737, 2.504, -0.467, 0.255, -0.257, 0
0.466, 1.06, 2.642, -0.676, -0.242, 0
0.873, 2.74, 0.827, -0.275, -0.149, 0
2.389, 1.318, 0.691, 0.912, -0.24, 0
0.503, 2.681, -0.614, -0.278, -0.178, 0
0.178, 1.103, 1.556, -0.458, 0.0, 0
2.235, 0.97, 0.341, 0.366, 0.617, 0
2.815, 0.989, 0.485, 0.537, 0.408, 0
0.157, 0.514, 0.792, 1.52, 1.984, 0
