Method,Model,Methods+Model,Dataset,y_true,y_score
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.430795
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.470513
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.359087
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.500849
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.386328
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.548412
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.421421
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.684235
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.299529
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.430267
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.366623
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.355964
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.446969
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.461324
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.291559
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.267607
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.320495
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.283764
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.321417
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.454557
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.322644
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.465143
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.355557
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.496533
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.413871
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.317580
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.403134
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.526697
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.535412
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.438216
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.458262
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.326104
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.421736
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.347915
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.465030
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.441386
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.346283
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.380877
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.319482
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.381466
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.501264
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.382210
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.304185
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.336523
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.357303
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.373854
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.501450
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.477122
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.372832
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.602611
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.467465
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.468430
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.333806
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.328861
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.405266
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.495891
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.340181
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.446368
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.493683
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.385372
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.315780
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.440427
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.529047
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.506660
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.442840
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.331962
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.600106
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.354312
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.533763
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.445826
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.426409
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.429994
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.489274
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.567659
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.419444
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.499425
