Method,Model,Methods+Model,Dataset,Accuracy,Precision,Recall,F1-score,ROC-AUC,PR-AUC,G-Mean,BAcc
StandardAdaBoost,-,StandardAdaBoost,yeast1,0.754040,0.585274,0.519644,0.547005,0.782133,0.588003,0.661191,0.684467
StandardAdaBoost,-,StandardAdaBoost,yeast3,0.942056,0.757729,0.692803,0.723046,0.959135,0.769528,0.819937,0.832777
StandardAdaBoost,-,StandardAdaBoost,yeast4,0.964954,0.550000,0.196364,0.272682,0.931238,0.411466,0.392317,0.594341
StandardAdaBoost,-,StandardAdaBoost,yeast6,0.977762,0.550000,0.371429,0.439161,0.897876,0.485871,0.604276,0.681918
SMOTEBoost,-,SMOTEBoost,yeast1,0.747300,0.555994,0.629384,0.590300,0.771750,0.554265,0.707392,0.712323
SMOTEBoost,-,SMOTEBoost,yeast3,0.946772,0.753004,0.772538,0.761103,0.959613,0.798888,0.864065,0.870370
SMOTEBoost,-,SMOTEBoost,yeast4,0.953497,0.379935,0.394545,0.373019,0.914704,0.412177,0.614804,0.684009
SMOTEBoost,-,SMOTEBoost,yeast6,0.977760,0.510073,0.628571,0.553919,0.914701,0.549974,0.770415,0.807384
RUSBoost,-,RUSBoost,yeast1,0.715636,0.517122,0.608454,0.549750,0.755806,0.514676,0.672792,0.683848
RUSBoost,-,RUSBoost,yeast3,0.900289,0.532518,0.920265,0.673079,0.934776,0.596941,0.908954,0.909042
RUSBoost,-,RUSBoost,yeast4,0.825489,0.146888,0.841818,0.249858,0.884708,0.184603,0.832058,0.833334
RUSBoost,-,RUSBoost,yeast6,0.786384,0.085585,0.828571,0.154764,0.826536,0.098310,0.800890,0.806969
RHSBoost,-,RHSBoost,yeast1,0.750651,0.561308,0.645581,0.599261,0.791026,0.589625,0.714821,0.719473
RHSBoost,-,RHSBoost,yeast3,0.919128,0.590070,0.901515,0.711530,0.954606,0.685207,0.911134,0.911395
RHSBoost,-,RHSBoost,yeast4,0.839599,0.154484,0.803636,0.258376,0.882436,0.180707,0.820957,0.822250
RHSBoost,-,RHSBoost,yeast6,0.867938,0.135872,0.857143,0.233958,0.867499,0.132836,0.857980,0.862671
SUBoost,-,SUBoost,yeast1,0.722345,0.529682,0.540821,0.527669,0.757088,0.558624,0.651197,0.668515
SUBoost,-,SUBoost,yeast3,0.939371,0.774303,0.626705,0.687674,0.954801,0.728601,0.777823,0.802379
SUBoost,-,SUBoost,yeast4,0.958888,0.441667,0.274545,0.314586,0.887886,0.396053,0.458078,0.628892
SUBoost,-,SUBoost,yeast6,0.977079,0.534286,0.428571,0.446231,0.870602,0.456637,0.622661,0.709452
SMOTECSL,-,SMOTECSL,yeast1,0.549183,0.385491,0.941642,0.546950,0.793128,0.595602,0.605286,0.665608
SMOTECSL,-,SMOTECSL,yeast3,0.853781,0.425960,0.950947,0.588335,0.968759,0.809297,0.894648,0.896368
SMOTECSL,-,SMOTECSL,yeast4,0.687349,0.087662,0.861818,0.159083,0.853468,0.148803,0.764784,0.771458
SMOTECSL,-,SMOTECSL,yeast6,0.754024,0.086510,0.942857,0.157344,0.910023,0.357384,0.836252,0.846160
